1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Bulgaria,,,,,,,,,0.026623319567700553,0.028653941609133163,0.03358662301023455,0.038779300992558656,0.04062698092548839,0.045732668895477196,0.05949613620657159,0.06444906444906445,0.07339996028856972,0.06842121911871699,0.059130615332136975,0.05208229939168782,0.048674440272170306,0.04695222405271829,0.04733846668898561,0.049060039633656474,0.049640451544652305,0.04635370534396221,0.04635290946295321,0.04076326610086016,0.04033096470638672,0.04215127046447885,0.04455384361868666,0.04723811867987611,0.04956519992770068,0.05299610045544299,0.055040705498344104,0.055952189239000125,0.06141399282890503,0.06367298811044513,0.06308163674369327,0.06477292251302903,0.06705711253488464,0.066701361783329,0.06610339368847008,0.06850509867963218,0.0712617896343145,0.07512037629769824,0.053200965744516215
Burkina Faso,0.0023528315512381485,0.002339154724865442,0.0025314783833758916,0.0011293886570095753,0.0012571327551832172,0.0010953722861449448,0.0012634307002861616,0.0011623246492985973,0.0010719620419998243,0.0011100582103695683,0.001668005189349478,0.002108190033389172,0.0021091453927274822,0.0025357976408250803,0.0034868379719796443,0.003110444970910087,0.0031438215633066385,0.002831113782304748,0.002491583490293206,0.0026232576606213575,0.0027104096671278126,0.0026908292147171885,0.003026447941078005,0.0032804884580365274,0.003575398047591628,0.0026187083606115454,0.002867190276058961,0.002840486089635662,0.002550829019431315,0.0025716190617294404,0.0026056686166268436,0.002912641273357537,0.0027212660414114432,0.002907294033597603,0.002910944195768155,0.0028181866981587846,0.0030615059299439183,0.0032720841112312076,0.003283413986961792,0.0034457743924555676,0.0037243032899650173,0.003787550235637667,0.0037187257041692815,0.003878522449964277,0.004099943005276608,0.004416116971434403,0.0026895147549447053
Burundi,0.0017704475039019732,0.002180183044534781,0.0018931055736550145,0.0008053032163024798,0.0008937428181380686,0.001029837192102085,0.0009934668754386913,0.0008416833667334669,0.0007907916703277392,0.0010017598483822933,0.0012046704145301785,0.0017207388921176485,0.001797960006915231,0.0022834794676086546,0.002905698309983037,0.0027881190671888347,0.0027632536898537295,0.0024040742732420206,0.0023136132409865484,0.0022829431532975057,0.002428075326801999,0.0020181219110378913,0.002209574824238366,0.0019682930748219163,0.0015533564551334414,0.00043645139343525754,0.0006616592944751449,0.0005039572094514884,0.00033225083866542343,0.00021165588985427492,0.00027807530691274616,0.0002769060365515968,0.00011045729319382243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010359501408655075
Cameroon,0.01779765648659352,0.018031930597506414,0.019107158580611076,0.009280628529339554,0.008338325852738684,0.008922134946120791,0.012472328707953135,0.011923847695390781,0.009928828749670503,0.01177744686611615,0.014332489034410329,0.01678575091449865,0.017921973145853743,0.02062701066044282,0.026669598542438902,0.025608793050653517,0.0229333509828579,0.020656059216145255,0.01745591528616133,0.015356692142988812,0.01451198509274683,0.012355848434925865,0.012520924004017409,0.012773820363129988,0.01281519075485089,0.011694329982927049,0.01155453175351966,0.010983976451454032,0.01032121153660654,0.010297059041410475,0.010257889099447968,0.01052242938896068,0.010603900146606953,0.010329327948720494,0.009992651058915602,0.009608674647055665,0.009929208421439736,0.01051390390095313,0.010298847941662134,0.010461409235820781,0.010946896741480288,0.011092799799539326,0.011118708843448205,0.011533500969630612,0.011785037965839937,0.011940215424865707,0.013406352150836257
Canada,0.6063083840007455,0.6230100152158609,0.6147750286167122,0.2742450282347164,0.28402361052455827,0.2772415342701731,0.3294098590788834,0.313627254509018,0.27774360776733154,0.2915482153332431,0.31838306459916393,0.35728693036135517,0.37993430530743966,0.43102251939695957,0.5429415090783439,0.5729181775693404,0.6061949831226421,0.5824502578053332,0.5387604372135791,0.4966181245834692,0.4932098591151642,0.4865458539264141,0.49246735855373286,0.5019013443307804,0.5045328548281265,0.4980808975494538,0.4890519892664159,0.4777170738411848,0.4651833274385604,0.4634523192194131,0.4603279228804482,0.4615715955941173,0.4617717349828289,0.46616921840426273,0.4559874781679185,0.43278401059280336,0.4437804541693482,0.45465264812813205,0.4502190533459325,0.46070289979573525,0.4762391415431783,0.4737907306213317,0.46795057935311035,0.4646154417154575,0.46130793697486716,0.47396253722619613,0.4555743284381258
Cape Verde,,,,,,,,,0.004252701871540286,0.004720003609945399,0.0056320915961368175,0.007190637357127392,0.00756065233677174,0.008944679240522299,0.011355783124960734,0.01171654660026753,0.012476007677543186,0.01233669692847879,0.011404926809734973,0.010719906980701332,0.011970976029814506,0.012493135639758374,0.014931369266822899,0.01692464249370682,0.018439412402747834,0.01824110088445591,0.019641478685993655,0.020146834805117458,0.02125333590559789,0.020985681479051357,0.021174919667133557,0.02170122864233996,0.0230554495611833,0.02402238517180818,0.02469053322771219,0.02660726108039437,0.02896019122919923,0.030166060725164586,0.029388464144928367,0.03031517858847336,0.031091545143665737,0.030367864611944757,0.029290819337373663,0.029070360851048038,0.02971079774227354,0.030866431016727435,0.019047844538635988
Central African Republic,0.009551098376313277,0.009447459859650717,0.009597605001320772,0.004144365332678615,0.004272287097692965,0.004100624455824666,0.004556989363425301,0.003877755511022044,0.0031280203848519463,0.002951130364153242,0.0037787524968596197,0.0038631157909131313,0.004402696940010373,0.004894972560398662,0.006251177985801344,0.005511772953633419,0.0054106823747435305,0.004997943883845253,0.004389932816230887,0.003941976376501283,0.0035574126881052544,0.0033498077979132344,0.003856712420488785,0.0042177708746183925,0.003762872102521526,0.002785586834572085,0.0029284550255474005,0.0027488575060990277,0.0023043203326795496,0.0022753008159334554,0.002306995138831672,0.0020921789428342873,0.0020083144217058623,0.0018951984997172087,0.0018992717867470914,0.0018608978832286578,0.0018939045692746162,0.0020438243097179913,0.0020521337418511203,0.00213809823797797,0.0023583978617192723,0.0005878894767783657,0.0005620240358946018,0.0008165310420977425,0.000992811310694784,0.0011318619128466328,0.0035108215107884275
Chad,0.009923824166608428,0.008380078577430564,0.008298846526371402,0.004036336852442916,0.004026753356446242,0.0038010354544858772,0.004146644349657146,0.0024649298597194387,0.0019418328793603375,0.0019042461982762512,0.002471118799036264,0.00370357708568368,0.003861003861003861,0.005323913454866587,0.006078406734937488,0.005479540363261293,0.006370375273016083,0.006057634517445355,0.005101813813457517,0.005203976007827234,0.005745503825630311,0.004173531026908292,0.0049548041513223975,0.004940817310267259,0.004767197396788837,0.003722673649888962,0.003896438067464742,0.0033558968720292293,0.002850926551129117,0.0030690104028869864,0.0032442119139820384,0.0038869402908538963,0.0052617837848693595,0.006112263224218851,0.005621462725598175,0.0052337752965806,0.005323158959271858,0.005758081949493957,0.006356842195687656,0.006051581619991218,0.006662473959356943,0.00670772255471709,0.006781756699794861,0.0068291687157265735,0.0060396021400599366,0.005659309564233163,0.005034409195219266
Chile,0.10918536119458616,0.09931187972656871,0.09681253852249713,0.0366805794254849,0.037507734312849275,0.038974656642918,0.04778359699800227,0.04739478957915832,0.04437219927950092,0.04787690086187446,0.04779555610469307,0.04971909792257814,0.05169135019881289,0.057970100296473856,0.07488848401080606,0.08024303373140583,0.08680256800582434,0.08977319457185336,0.08567784418704673,0.08696453639238262,0.09511843925576668,0.09733662822624932,0.0987612989621694,0.10623426704515024,0.1119086197892256,0.11284835881439263,0.11104848492274515,0.10203988134098432,0.09938587183691842,0.10014498428455018,0.09934497816593886,0.10159374807704141,0.10630008234089129,0.10895902997588831,0.11049180640789487,0.10802154347164815,0.1137262112714903,0.11860076643411614,0.12092317383958996,0.12662505011167746,0.13623678314531662,0.1384046028854772,0.13541969144880428,0.13614727250795655,0.13588645180268794,0.13811498603727723,0.09319671770363404
China,0.001584084608754397,0.001975790884109645,0.0018050541516245488,0.0009526147802602505,0.0008053506712892486,0.0008613183788490165,0.0012202364883105664,0.0012725450901803607,0.00138827871013092,0.00149812734082397,0.0021622289491567306,0.003156587239182706,0.003987783092260704,0.005096827098971804,0.007005088898661808,0.007800286870054312,0.008802700377258587,0.008540790181254547,0.008275616592759577,0.008663840165619727,0.010262853270843333,0.011532125205930808,0.013324405758285906,0.014916180172459964,0.01629685177497757,0.0159304758603869,0.016578241211571684,0.016710762922493672,0.016859050620022936,0.018022499021091508,0.01921809343330312,0.02118843968576293,0.022653786676842126,0.02501463569522033,0.02717199385361291,0.029201782167588168,0.03291348717477246,0.0384199665913334,0.04131947427196976,0.04520550560296279,0.05015526119256319,0.052823315118397086,0.05495658364322714,0.05820567303499021,0.06133367652736666,0.06602837076827446,0.018980405257081837
Colombia,0.06585598807277471,0.06729044125996411,0.06753544069736726,0.03010066290203781,0.03082921655093843,0.029893365039835976,0.036553101884347496,0.03496993987975952,0.03128020384851946,0.0320833897387302,0.03626366837585717,0.04026073182683213,0.04131850400507117,0.04560650980886898,0.0590249418860338,0.06219278312301568,0.06496128135548349,0.06288552177901496,0.06150355198955908,0.059030387249549794,0.0608148169061803,0.05958264689730917,0.06099765651155005,0.06325317337046757,0.06343318558592338,0.060987663829732607,0.057748152867802924,0.05084241028988993,0.048905179897752483,0.048289291270252825,0.047643569251050503,0.0487764855496072,0.04946478420661539,0.05051547414691261,0.05131851455949302,0.05085261330899851,0.053507400937758576,0.05748255871081851,0.05745019996372973,0.060668537502624895,0.06440391494045046,0.06564123321864669,0.06600972301582098,0.06702049678490903,0.06721700281296537,0.06853331106719734,0.053495644101696126
