1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean
Malta,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0928125,0.0,0.0,0.06101240362051625,0.02313412283117598,0.026212640862322396,0.035749751737835164,0.0016847172081829085,0.02605615987857323,0.0,0.09917575113001861,0.0584958217270195,0.11621621621621621,0.04815493326354357,0.04768703597944034,0.06670637284097677,0.0270012706480305,0.11633663366336634,0.12714914034386246,0.00980392156862745,0.19002890173410403,0.17179384738314024,0.04100690215184733,0.06057866184448463,0.029215976331360964,0.1174345076784101,0.16271501627150167,,0.04746387045715017
Mauritius,0.015671890630210062,0.1783893985728848,0.11137370753323485,0.24312281461769347,0.19024106883531802,0.11284170375079468,0.19428891377379615,0.1441291040623261,0.007764836383804776,0.0,0.040092937807316154,0.0393222910608168,0.24355777223607647,0.28226473491822085,0.0600420527996262,0.3629076477192616,0.4434250764525994,0.35625,0.38683788121990376,0.3541808293677771,0.3831713040563191,0.2646653814376205,0.2160705536501715,0.27259185700099303,0.2659446450060169,0.1980774095623577,0.28109854604200324,0.3033767614996012,0.21752342365155738,0.18945945945945947,0.22271656634388906,0.13106796116504854,0.1563430613460393,0.1670902160101652,0.27640264026402644,0.2994802079168333,0.1463326071169208,,0.19456652017578907,0.22289890377588306,0.23056057866184448,0.14090236686390534,0.24661246612466123,0.2040911204091121,0.0,0.2044943004382245
Moldova,,,,,,,,,,0.48862115127175376,0.5569244069811422,,,0.5384081752448038,0.4808296342444774,0.4386276404083658,0.4434250764525994,0.440625,0.40930979133226325,0.47654656696125086,0.44351324170298356,0.36931974662627376,0.3777560019598236,0.38430983118172785,0.35740072202166073,0.3574500379458639,0.3430263866451265,0.3352831693698484,0.28589516333248927,0.37027027027027026,0.33525255168803975,0.3746430611079384,0.3776057176891007,0.40279542566709026,0.542079207920792,0.4602159136345462,0.46259985475671744,0.4761560693641618,0.5485417499001198,0.3625659764514819,0.46654611211573244,0.363905325443787,0.4444444444444444,0.44676894467689454,0.3558880936890046,0.4211044253677228
Netherlands,0.18506168722907637,0.19741760108732587,0.22599704579025112,0.23879072933750037,0.2518152773743828,0.18563254926891293,0.2144456886898096,0.20144685587089595,0.18108707709373265,0.1951807228915663,0.25622737342627117,0.2666582374510052,0.2103075644222776,0.25291496571413324,0.2456454585572256,0.24488890049348547,0.19908256880733943,0.17781250000000004,0.19454253611556985,0.21481985044187626,0.2075092189071405,0.15119801707518588,0.1489465948064674,0.1372889771598808,0.14247894103489772,0.14571211737920567,0.1451265481960151,0.1430470619516086,0.12889339073183084,0.14324324324324325,0.1554566867312222,0.14306110793832097,0.15723645026801666,0.16963151207115632,0.2116336633663366,0.18152738904438223,0.17102396514161214,0.17738439306358383,0.21574111066719937,0.19935038570848557,0.23282097649186262,0.1908284023668639,0.22357723577235772,0.24267782426778248,0.08783344176968125,0.1909556410048217
New Zealand,0.23607869289763256,0.22290180088345227,0.24519940915805022,0.28520592876814055,0.270694162067964,0.30069930069930073,0.25531914893617014,0.20562047857540344,0.22074320576816417,0.2208835341365462,0.29756308423839634,0.2641294727525604,0.22693266832917702,0.250246804877398,0.3120992653739325,0.347241442335309,0.3516819571865443,0.31875000000000003,0.34510433386837885,0.35078178110129166,0.3630573248407643,0.2398788212613605,0.267515923566879,0.2874875868917577,0.27557160048134777,0.29926637996458383,0.32687129779213786,0.2767880882743951,0.2251202836161054,0.2810810810810811,0.2462706097880136,0.27470017133066826,0.2763549731983324,0.29796696315120713,0.3935643564356436,0.3522590963614554,0.33551198257080606,0.3135838150289017,0.36875749101078703,0.30572472594397077,0.3851717902350814,0.26405325443786987,,,,0.2901055735527848
Norway,0.20373457819273091,0.18654434250764526,0.2570162481536189,0.26199832905282044,0.28550682544292766,0.25619834710743805,0.27211646136618134,0.25153032832498606,0.24292845257903492,0.27175368139223566,0.3515966931431351,0.33999241370590466,0.2740371293987254,0.3409642733263961,0.3302702281753758,0.3655186819499204,0.400611620795107,0.340625,0.37399678972712685,0.39157036029911624,0.3429433456252095,0.24814100798678052,0.21117099461048508,0.21549155908639522,0.19374247894103494,0.20060713382241335,0.23532579429186862,0.25285828237170965,0.21499113699670805,0.23783783783783785,0.20151792724417691,0.2175899486007996,0.24359737939249554,0.2534942820838628,0.3234323432343234,0.2798880447820872,0.25853304284676826,0.2882947976878612,0.30083899320815016,0.3097848152659359,0.25361663652802896,0.21597633136094674,0.2439024390243902,0.28312412831241285,,0.2733002605859798
Poland,0.3197732577525842,0.30682976554536184,0.29098966026587886,0.31614939505523404,0.33488237002614,0.291163382072473,0.32250839865621495,0.27657206455203115,,,,0.29953217853078773,0.2823496813521751,0.33029162997945516,0.3250785245178206,0.33157523695135643,0.2874617737003058,0.24062500000000003,0.33226324237560195,0.3575798776342624,0.3865236339255783,0.2949600660974938,0.26506614404703577,0.2601787487586892,0.24909747292418774,,,0.2847646902419569,0.275766016713092,0.30270270270270266,0.29861292855273486,0.3032552826956026,0.33591423466349024,0.3424396442185515,0.4224422442244224,0.3762495001999201,0.36456063907044295,0.41835260115606937,0.452656811825809,0.4072269589930979,0.4620253164556963,0.356508875739645,0.40831074977416437,0.3816829381682939,,0.33063906769529133
Portugal,0.18039346448816274,0.18790349983010532,0.20088626292466766,0.22331899619395362,0.2303223932616904,0.1837253655435474,0.21136618141097419,0.1930996104618809,0.11785912368275096,0.14377510040160646,0.20192359647700872,0.22316348463775446,0.16846771958991408,0.2179620587529016,0.20774602185707242,0.21198986918718504,0.1363914373088685,0.09156250000000003,0.1608346709470305,0.1696125084976207,0.14649681528662417,0.08234646103001927,0.08255756981871633,0.08664349553128103,0.051504211793020456,0.045282064254996195,0.03338718362950996,0.02605689976070194,0.019498607242339837,0.0816216216216216,0.16985082439152052,0.15334094802969736,,,,0.17073170731707316,0.1528685548293391,0.14703757225433528,0.17938473831402318,0.13073487616727567,0.14556962025316456,0.10392011834319527,0.1761517615176152,,,0.14618223792101911
Singapore,0.4564854951650551,0.42235813795446825,0.361890694239291,0.4553949933471547,0.4220156839965147,0.3134138588684044,0.37290033594624855,0.3183082915971063,0.2845257903494176,0.1884872824631861,0.3029664451288702,0.30964723732456695,0.16625103906899416,0.3676458816937485,0.3640163019494848,0.3263531684900389,0.39449541284403666,0.3937500000000001,0.3547351524879615,0.2726036709721278,0.23365739188736173,0.1768107959239879,0.20137187653111221,0.23286991062562068,0.12803850782190135,0.1656969390336453,0.2057081313947227,0.14331294868386066,0.15421625728032415,0.17297297297297298,0.17351478670505102,0.1727584237578527,0.18344252531268615,0.2004447268106735,0.2528877887788779,0.2331067572970812,0.17937545388525777,0.1958092485549133,0.16180583300039955,0.1368250101502233,0.2192585895117541,0.14164201183431954,0.15085817524841913,0.1580660158066016,,0.25506127165218856
Spain,0.058019339779926654,0.042813455657492366,0.07149187592319055,0.08623944054212952,0.10136508858553586,0.027654164017800388,0.06578947368421052,0.03617139677239844,0.03410981697171382,0.06024096385542169,0.11249797373966608,0.12201289669996208,0.062344139650872814,0.13551588889778277,0.15427147418425358,0.15402490926656048,0.12293577981651374,0.09968750000000003,0.12520064205457465,0.11080897348742352,0.10157559503855178,0.08510052327182593,0.09309162175404215,0.08738828202581927,0.0969915764139591,0.09587654945610927,0.09693053311793215,0.08827439510768412,0.09040263357812106,0.09405405405405406,0.1028526563726773,0.10051399200456883,0.11107802263251937,0.09752223634053368,0.11427392739273928,0.11955217912834866,0.11437908496732024,0.10404624277456645,0.09868158210147823,0.06780349167681689,0.09086799276672694,0.08394970414201183,0.10072267389340561,0.08972570897257091,,0.09338296483117756
Sweden,0.5265088362787596,0.5412844036697249,0.48892171344165436,0.5141875792926324,0.48300900377577694,0.459631277813096,0.4288913773796192,0.43516972732331666,0.40099833610648916,0.3574297188755021,0.4461555087264279,0.4107978252623594,0.3793294541424217,0.4023319725713066,0.4107416348674819,0.40207316117914305,0.418960244648318,0.39687500000000003,0.3836276083467095,0.398368456832087,0.3429433456252095,0.27568163040484717,0.23566878980891723,0.24528301886792453,0.21780986762936225,0.2183152036428029,0.22994076467420574,0.23158734379154478,0.19220055710306408,0.22432432432432434,0.22795079822036118,0.2175899486007996,0.24359737939249554,0.2630241423125794,0.3358085808580858,0.31627349060375853,0.2919389978213507,0.30635838150289013,0.30083899320815016,0.26918392204628505,0.2902350813743219,0.2529585798816568,0.2682926829268293,0.298000929800093,,0.3404795362489701
Switzerland,0.5265088362787596,0.49711179068977235,0.518463810930576,0.6193953646687502,0.5788556491431891,0.5994914176732359,0.5688689809630458,0.552031163049527,0.5535219079312257,0.5100401606425704,0.5812395309882747,0.5524086483752688,0.5012468827930175,0.562421622775421,0.5015964488746983,0.5195697015587875,0.5015290519877675,0.496875,0.5088282504012841,0.5377294357579878,0.4870935300033523,0.37758193335169377,0.3655071043606075,0.339622641509434,0.33574007220216606,0.3169744497849734,0.3430263866451265,0.31135336346716297,0.31628260319068124,0.327027027027027,0.34572101544098405,0.29754426042261567,0.31506849315068497,0.3297331639135959,0.42656765676567654,0.4362255097960816,0.36456063907044295,0.30635838150289013,0.2904514582500998,0.26837190418189205,0.28300180831826405,0.2233727810650888,,,,0.43321237711675475
United Kingdom,0.14671557185728576,0.145429833503228,0.17134416543574593,0.1809264473806356,0.19082195759512055,0.13413858868404327,0.162094064949608,0.1416249304396216,0.13810316139767057,0.1595716198125837,0.20273410061057978,0.18851940826906058,0.11692989747852592,0.19501587555697855,0.18671962204397374,0.17909083788088462,0.1602446483180428,0.10937500000000001,0.1582664526484751,0.14513936097892594,0.15018437814280924,0.10134949049848525,0.09897109260166587,0.09409136047666336,0.08856799037304453,0.08752845939792561,0.10689283791060851,0.10449348577505983,,0.10405405405405405,0.1067783302800314,0.09366076527698458,0.11167361524717093,0.10133418043202033,0.13737623762376236,0.13354658136745304,0.13398692810457516,0.12463872832369942,0.13703555733120257,0.11855460820138043,0.12160940325497287,0.10318047337278109,0.11878952122854561,0.13993491399349142,,0.1356055473978925
United States,0.3231077025675225,0.31702344546381245,0.3205317577548006,0.35947024785716497,0.34069125762416497,0.31023521932612846,0.28891377379619254,0.25153032832498606,0.23183582917359952,0.2530120481927712,0.3029664451288702,0.2793020609432293,0.22139096702687724,0.28760105659169133,0.2991200062300445,0.2976317919527925,0.27217125382262997,0.246875,0.2905296950240771,0.2861998640380694,0.27924907810928595,0.21784632332690715,0.20382165605095542,0.20307845084409135,0.19374247894103494,0.1904882367821907,0.20301561658589123,0.18399361871842596,0.1676373765510256,0.19756756756756758,0.20047108086888246,0.20074243289548835,0.22275163787969032,0.22554002541296062,0.2986798679867987,0.31627349060375853,,,,,,,,,,0.25791774138789947
