1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,0.363,,,,0.358,,,,,,,0.3605
Lesotho,,,,,,,,,,0.6659999999999999,,,,,,,,0.5660000000000001,,,,,,,,0.5710000000000001,,,,,,,,0.601
Liberia,,,,,,,,,,,,,,,,,,,,,,,0.638,,,,,,,0.541,,,,0.5895
Lithuania,,,,,,,,,,,,,,,,,,,,0.205,0.2,0.191,0.209,0.203,0.205,0.192,0.18600000000000003,0.20600000000000002,0.191,0.222,,,,0.20090909090909095
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.268,0.262,0.242,0.221,0.215,,,0.24633333333333332
Madagascar,,,,,,,,,,,,,,,,,0.708,,,,0.732,,,,,0.7170000000000001,,0.7070000000000001,,,,,,0.716
Malawi,,,,,,,,,,,,,0.653,,,,,,,0.524,,,,,,0.507,,,,,,,,0.5613333333333334
Malaysia,,,,,,,,,,,,,,,,,,0.06,,0.057,,,0.036000000000000004,,0.038,,,0.017,,0.006,,,,0.03566666666666667
Maldives,,,,,,,,,,,,,,,,,,0.23,,,,,,,0.157,,,,,,,,,0.1935
Mali,,,,,,,,,,,,,,,,,0.556,,,,,0.475,,,0.436,,,,,,,,,0.48900000000000005
Mauritania,,,,,,,,,,,,,,,,0.51,,,,0.467,,,,0.42,,,,,,0.31,,,,0.42675
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,,,,0.079
Mexico,,,,,,,,,,,,,,,,,,,,,,,,0.444,,0.461,,0.455,,0.462,,0.436,,0.4516
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,0.299,,,,,,,,0.41200000000000003,,,,,0.35550000000000004
Moldova,,,,,,,,,,,,,,,,,0.546,0.40399999999999997,0.29,0.265,0.29,0.302,0.258,0.264,0.263,0.21899999999999997,0.175,0.166,0.127,0.114,0.096,,,0.25193333333333334
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,0.38799999999999996,0.337,0.27399999999999997,,0.21600000000000003,,,,0.30374999999999996
Montenegro,,,,,,,,,,,,,,,,,,,,,0.11199999999999999,0.113,0.08,0.049,0.068,0.066,0.09300000000000001,0.113,0.086,,,,,0.08666666666666667
Morocco,,,,,,,,,,,,,,0.163,,0.153,,,,,,,0.08900000000000001,,,,,,,,,,,0.135
Mozambique,,,,,,,,,,,,0.6940000000000001,,,,,,0.541,,,,,,0.547,,,,,,0.461,,,,0.5607500000000001
Myanmar,,,,,,,,,,,,,,,,,,,,,0.48200000000000004,,,,,0.424,,,,,0.321,,,0.40900000000000003
Namibia,,,,,,,,,0.693,,,,,,,,,,0.377,,,,,,0.287,,,,,,,,,0.4523333333333333
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,,,,,,,,0.252
Nicaragua,,,,,,,,,,,,,,,,,0.45799999999999996,,,,0.483,,,,0.425,,,,,0.29600000000000004,,0.249,,0.3822
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,,,0.445,,,,0.46699999999999997
Nigeria,,,,,,,,,,,,,,,,,,,0.484,,,,,,0.46,,,,,,,,,0.472
Pakistan,,,,,,,,,,,,,,0.579,,,0.643,,,0.517,0.504,,0.441,,,0.368,0.363,,0.295,,,,,0.46375
Palau,,,,,,,,,,,,,,,,,,,,,,0.249,,,,,,,,,,,,0.249
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,0.258,,,,,,,0.2575
Panama,,,,,,,,,,,,,,,,0.379,,,,,0.366,0.38299999999999995,,0.33799999999999997,,,,,,,0.23,0.221,,0.31949999999999995
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,0.39899999999999997,,,,,,,,,0.39899999999999997
