1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,mean
Bolivia,0.5702054794520548,0.3149171270718231,0.3194444444444444,0.5437262357414447,0.5528301886792453,0.5607476635514018,0.5693160813308689,0.5805860805860807,0.3700564971751412,0.3732193732193731,0.382857142857143,0.4353562005277045,0.46683673469387765,0.4560000000000001,0.453551912568306,0.43063583815028905,0.42514970059880247,0.4316109422492401,0.4498480243161094,0.44654088050314455,0.45597484276729566,0.5552631578947369,0.758160237388724,0.5518207282913165,0.5568181818181819,0.5722222222222221,0.5912806539509536,0.6102150537634409,0.6259946949602123,0.6404199475065616,0.6456692913385826,0.6649616368286444,0.6826196473551638,0.6915422885572138,0.6962025316455697,0.6930946291560103,0.6953125,0.6943699731903484,0.7790927021696251,0.6892655367231639,0.6883852691218131,0.6920903954802259,0.6903409090909093,0.6842105263157895,0.6845238095238093,0.6867469879518071,0.6918429003021147,0.570252719213424
Bosnia and Herzegovina,0.8373287671232876,0.7403314917127071,0.7388888888888887,0.8231939163498097,0.8245283018867925,0.8261682242990654,0.8262476894639558,0.8296703296703297,0.7429378531073444,0.7464387464387466,0.7514285714285713,0.778364116094987,0.7857142857142856,0.7813333333333335,0.7814207650273224,0.7745664739884394,0.7724550898203595,0.7720364741641338,0.7750759878419451,0.7704402515723271,0.69811320754717,0.7105263157894737,0.8545994065281899,0.6806722689075633,0.7812500000000003,0.7888888888888891,0.7956403269754768,0.8091397849462367,0.8143236074270557,0.8188976377952755,0.816272965879265,0.8209718670076727,0.8312342569269521,0.8308457711442787,0.8329113924050634,0.8312020460358054,0.8333333333333333,0.8364611260053617,0.8816568047337278,0.8305084745762712,0.8243626062322945,0.8248587570621468,0.8181818181818185,0.8128654970760236,0.8124999999999997,0.8132530120481927,0.8096676737160122,0.7976959235126847
Botswana,0.6763698630136987,0.4861878453038672,0.49166666666666653,0.6596958174904942,0.6660377358490566,0.6710280373831775,0.6765249537892791,0.6813186813186815,0.516949152542373,0.5242165242165243,0.5342857142857144,0.58311345646438,0.6020408163265306,0.5946666666666667,0.5928961748633879,0.5780346820809249,0.5658682634730539,0.5562310030395134,0.5410334346504561,0.5031446540880503,0.459119496855346,0.5,0.6839762611275964,0.330532212885154,0.24431818181818188,0.19166666666666662,0.14168937329700262,0.1021505376344087,0.06896551724137935,0.04986876640419943,0.02624671916010499,0.051150895140664954,0.08816120906801009,0.13681592039800994,0.16455696202531644,0.1918158567774936,0.22135416666666663,0.25469168900804284,0.4930966469428008,0.32203389830508466,0.35694050991501414,0.40677966101694907,0.4346590909090911,0.43859649122807004,0.45238095238095233,0.46686746987951805,0.4773413897280968,0.4139805677870705
Brazil,0.7551369863013698,0.6077348066298343,0.6111111111111112,0.7376425855513307,0.7433962264150942,0.7495327102803737,0.7560073937153419,0.7600732600732601,0.6384180790960453,0.6438746438746438,0.6457142857142859,0.6781002638522426,0.6862244897959184,0.6773333333333335,0.6775956284153006,0.6647398843930636,0.6616766467065869,0.6656534954407295,0.6656534954407295,0.6635220125786162,0.6666666666666669,0.7210526315789475,0.8442136498516319,0.7030812324929974,0.6988636363636365,0.7055555555555557,0.7138964577656676,0.7204301075268816,0.724137931034483,0.732283464566929,0.732283464566929,0.7442455242966752,0.7581863979848867,0.763681592039801,0.7670886075949367,0.7647058823529411,0.7682291666666665,0.7667560321715817,0.8303747534516767,0.7598870056497176,0.7592067988668556,0.7598870056497176,0.7556818181818183,0.7485380116959066,0.7440476190476188,0.7439759036144579,0.743202416918429,0.7197723547419835
Brunei,0.8373287671232876,0.756906077348066,0.7722222222222221,0.844106463878327,0.8415094339622641,0.8355140186915888,0.8317929759704252,0.8333333333333334,0.7514124293785311,0.7549857549857552,0.7628571428571429,0.7968337730870712,0.8137755102040817,0.8186666666666667,0.8196721311475408,0.8179190751445087,0.8203592814371258,0.8206686930091184,0.817629179331307,0.8113207547169811,0.8113207547169811,0.8421052631578947,0.9124629080118692,0.8347338935574232,0.8323863636363639,0.8361111111111109,0.8419618528610355,0.849462365591398,0.8461538461538463,0.8503937007874015,0.8477690288713912,0.8542199488491048,0.8614609571788413,0.8582089552238805,0.8556962025316455,0.8491048593350382,0.8489583333333335,0.8445040214477213,0.8875739644970414,0.8333333333333331,0.821529745042493,0.8163841807909605,0.8096590909090912,0.798245614035088,0.794642857142857,0.7951807228915664,0.7945619335347432,0.8252540317665702
Bulgaria,0.904109589041096,0.8425414364640883,0.8333333333333334,0.8840304182509504,0.8792452830188678,0.8710280373831775,0.8687615526802219,0.8663003663003663,0.7909604519774011,0.7891737891737893,0.7857142857142857,0.8047493403693934,0.806122448979592,0.792,0.7896174863387977,0.7745664739884394,0.7694610778443113,0.7629179331306988,0.756838905775076,0.742138364779874,0.738993710691824,0.773684210526316,0.8649851632047477,0.7394957983193278,0.7244318181818185,0.7111111111111109,0.7220708446866484,0.7311827956989247,0.7347480106100795,0.7375328083989502,0.7375328083989501,0.7468030690537083,0.7556675062972291,0.7562189054726369,0.7544303797468354,0.754475703324808,0.7552083333333333,0.7560321715817693,0.824457593688363,0.7570621468926552,0.7592067988668556,0.7598870056497176,0.7556818181818183,0.7426900584795322,0.7380952380952378,0.7349397590361447,0.7311178247734137,0.7789649780180111
Burkina Faso,0.45890410958904115,0.12707182320441973,0.125,0.40494296577946765,0.4094339622641509,0.416822429906542,0.4269870609981516,0.4358974358974359,0.13841807909604534,0.1396011396011396,0.14857142857142866,0.21899736147757268,0.2500000000000001,0.2266666666666667,0.21038251366120206,0.16184971098265882,0.12874251497006,0.12462006079027357,0.12158054711246201,0.09433962264150944,0.08805031446540895,0.23421052631578962,0.5652818991097922,0.17086834733893563,0.14204545454545456,0.16388888888888886,0.18528610354223427,0.20161290322580644,0.2148541114058356,0.22834645669291345,0.2335958005249344,0.268542199488491,0.2972292191435768,0.3184079601990051,0.31898734177215193,0.3222506393861893,0.328125,0.3217158176943699,0.5088757396449703,0.3079096045197739,0.3116147308781869,0.32203389830508466,0.32386363636363635,0.3128654970760233,0.31249999999999994,0.3132530120481929,0.3172205438066465,0.26387798041686217
Burundi,0.0,0.1215469613259668,0.1111111111111111,0.38783269961977185,0.38867924528301884,0.394392523364486,0.39926062846580407,0.4047619047619048,0.08474576271186439,0.0826210826210826,0.0885714285714286,0.16622691292876002,0.19387755102040818,0.16000000000000003,0.139344262295082,0.09248554913294788,0.06287425149700604,0.045592705167173245,0.04255319148936166,0.006289308176100496,0.0,0.0,0.5178041543026706,0.06722689075630249,0.03409090909090918,0.05555555555555555,0.07356948228882823,0.09408602150537634,0.1007957559681697,0.13385826771653547,0.14960629921259833,0.19437340153452684,0.2367758186397985,0.26865671641791056,0.2860759493670885,0.3017902813299232,0.31249999999999994,0.31367292225201077,0.504930966469428,0.30225988700564976,0.30878186968838517,0.3163841807909605,0.3181818181818183,0.30409356725146197,0.3005952380952381,0.3012048192771084,0.3021148036253776,0.20152665225248745
Cambodia,0.4623287671232878,0.12430939226519336,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.25988700564971756,0.25925925925925913,0.26571428571428585,0.3324538258575198,0.3571428571428571,0.33333333333333337,0.3251366120218579,0.3352601156069363,0.32934131736526945,0.3191489361702127,0.32826747720364735,0.3144654088050315,0.32389937106918254,0.42894736842105274,0.6735905044510385,0.38095238095238104,0.3664772727272727,0.3777777777777778,0.38692098092643046,0.4005376344086023,0.40848806366047746,0.42519685039370086,0.43307086614173235,0.4603580562659845,0.4886649874055416,0.5124378109452736,0.5265822784810126,0.5345268542199488,0.5442708333333334,0.5442359249329759,0.670611439842209,0.5395480225988698,0.5467422096317281,0.5536723163841806,0.5568181818181819,0.5467836257309941,0.5476190476190477,0.5481927710843374,0.5498489425981872,0.3773177037968293
Cameroon,0.5873287671232877,0.33425414364640865,0.3333333333333333,0.5475285171102661,0.5528301886792453,0.5570093457943924,0.5656192236598891,0.5714285714285715,0.34745762711864414,0.3504273504273504,0.36285714285714293,0.42216358839050133,0.44387755102040827,0.432,0.4180327868852458,0.39595375722543347,0.37724550898203596,0.36474164133738596,0.36170212765957444,0.33018867924528306,0.31761006289308186,0.41052631578947374,0.6587537091988129,0.3333333333333333,0.3039772727272728,0.2916666666666667,0.28337874659400547,0.282258064516129,0.27586206896551724,0.2755905511811024,0.27034120734908135,0.2864450127877238,0.3022670025188917,0.31343283582089554,0.3113924050632911,0.3069053708439898,0.3098958333333334,0.3056300268096514,0.4970414201183432,0.288135593220339,0.2946175637393767,0.3050847457627117,0.306818181818182,0.29532163742690065,0.29464285714285726,0.2981927710843375,0.30513595166163143,0.3697922778785391
